Tair,Rin,CO2air,Plant Density,day,hour,hour_order,timestep
16.0,1.74,566.0,90.0,0,0,0,0
16.0,3.045,560.0,90.0,0,0,0,1
16.1,2.61,553.000001,90.0,0,0,0,2
16.1,2.61,546.000001,90.0,0,0,0,3
16.1,3.045,542.0,90.0,0,0,0,4
16.2,2.61,537.0,90.0,0,0,0,5
16.2,2.3925,535.0,90.0,0,0,0,6
16.2,2.8275,532.0,90.0,0,0,0,7
16.3,2.8275,550.999999,90.0,0,0,0,8
16.3,2.8275,547.0,90.0,0,0,0,9
16.4,3.045,550.999999,90.0,0,0,0,10
16.4,3.6975,543.000001,90.0,0,0,0,11
16.6,4.35,538.000001,90.0,0,1,1,12
16.6,3.915,534.0,90.0,0,1,1,13
16.8,3.915,528.0,90.0,0,1,1,14
16.9,5.0025,524.0,90.0,0,1,1,15
17.0,4.5675,521.0,90.0,0,1,1,16
17.1,3.915,519.0,90.0,0,1,1,17
17.2,4.35,515.0,90.0,0,1,1,18
17.3,5.0025,511.0,90.0,0,1,1,19
17.4,5.22,507.000001,90.0,0,1,1,20
17.3,5.22,506.0,90.0,0,1,1,21
17.4,5.8725,504.0,90.0,0,1,1,22
17.6,5.8725,514.999999,90.0,0,1,1,23
17.6,5.219999565,500.0,90.0,0,2,2,24
17.6,0.6525006525,500.0,90.0,0,2,2,25
17.8,0.0,499.0,90.0,0,2,2,26
17.9,0.0,498.0,90.0,0,2,2,27
17.9,0.0,495.0,90.0,0,2,2,28
17.9,0.0,493.0,90.0,0,2,2,29
18.0,0.0,492.0,90.0,0,2,2,30
17.9,0.0,487.0,90.0,0,2,2,31
18.0,0.0,483.0,90.0,0,2,2,32
17.8,0.0,479.0,90.0,0,2,2,33
18.0,0.0,482.0,90.0,0,2,2,34
18.1,0.0,478.0,90.0,0,2,2,35
18.2,0.0,476.0,90.0,0,3,3,36
18.3,0.0,475.0,90.0,0,3,3,37
18.4,0.0,474.0,90.0,0,3,3,38
18.4,0.0,471.0,90.0,0,3,3,39
18.5,0.0,471.0,90.0,0,3,3,40
18.6,0.0,467.0,90.0,0,3,3,41
18.8,0.0,467.0,90.0,0,3,3,42
18.7,0.0,464.0,90.0,0,3,3,43
18.7,0.0,460.0,90.0,0,3,3,44
18.8,0.0,460.0,90.0,0,3,3,45
18.7,0.0,460.0,90.0,0,3,3,46
18.6,0.0,459.0,90.0,0,3,3,47
18.7,0.0,461.0,90.0,0,4,4,48
18.6,0.0,458.0,90.0,0,4,4,49
18.7,0.0,456.0,90.0,0,4,4,50
18.7,0.0,454.0,90.0,0,4,4,51
18.9,0.0,452.0,90.0,0,4,4,52
18.9,0.0,448.0,90.0,0,4,4,53
19.1,0.2175,451.0,90.0,0,4,4,54
19.3,0.0,449.0,90.0,0,4,4,55
19.7,0.0,449.0,90.0,0,4,4,56
19.9,0.0,449.0,90.0,0,4,4,57
19.9,0.0,449.0,90.0,0,4,4,58
20.0,0.0,453.0,90.0,0,4,4,59
19.7,1.305e-06,449.0,90.0,0,5,5,60
19.5,13.9199980425,446.0,90.0,0,5,5,61
19.4,13.92,444.0,90.0,0,5,5,62
19.4,13.92,441.0,90.0,0,5,5,63
19.4,9.57,444.0,90.0,0,5,5,64
19.5,9.7875,439.000001,90.0,0,5,5,65
19.5,10.005,439.0,90.0,0,5,5,66
20.3,11.31,437.0,90.0,0,5,5,67
21.0,16.530000870000002,441.0,90.0,0,5,5,68
22.2,40.019999565,437.0,90.0,0,5,5,69
24.0,36.322500435,437.0,90.0,0,5,5,70
25.3,30.667500434999997,436.0,90.0,0,5,5,71
25.8,41.76,434.0,90.0,0,6,6,72
25.0,49.3724989125,430.0,90.0,0,6,6,73
23.3,32.1900023925,429.0,90.0,0,6,6,74
